vehicle,month_ts,Month,Ca,I_ave,I_sum,I_std,Vpack_ave,Vpack_sum,Vpack_std,SOC_ave,SOC_sum,SOC_std,Vmax_ave,Vmax_sum,Vmax_std,Vmin_ave,Vmin_sum,Vmin_std,Tmax_ave,Tmax_sum,Tmax_std,Tmin_ave,Tmin_sum,Tmin_std,Vd_ave,Vd_sum,Vd_std,Td_ave,Td_sum,Td_std
18,2019-08-01,8,132.3372721656977,-47.9734717683805,-1618864.804824,18.69648993896474,353.90925766780265,11942667.9,17.810050177599972,65.61015854239147,2214014.800013,23.88702835139182,3.9482257519632538,133232.878,0.19549657227423398,3.9116456067565557,131998.48099999997,0.19357310186115428,38.81377981923248,1309771.0,2.6656071211204835,36.939042821158694,1246508.0,2.639811744765776,0.03658014520669729,1234.3970000000002,0.00819819230132998,1.8747369980737887,63263.0,0.6826059661681764
18,2019-09-01,9,131.9482746325691,-48.7196469606512,-2021524.3113383001,18.3381672154816,353.51156821632566,14668255.5,17.999048052050952,65.23624707813364,2706847.6000129995,24.060734315361287,3.9465452244956984,163754.00100000002,0.19865804096771578,3.9100554551370115,162239.931,0.1967796931639954,38.396259610054706,1593176.0,2.5179121139402607,36.47959896850071,1513648.0,2.56409876482226,0.03648976935868701,1514.0700000000002,0.00847116047442164,1.916660641553997,79528.0,0.7407201504443366
18,2019-10-01,10,129.67448936781608,-44.300030016545314,-1977331.8397885002,15.192433658353181,349.25019379410776,15588782.4,16.070556599613738,60.20701243418841,2687339.9999999995,21.7079364696748,3.896270281169486,173910.024,0.17870378820572416,3.862829237145738,172417.383,0.17467731958783875,34.69035510249804,1548404.0,2.4905844780428246,32.92651506665173,1469675.0,2.37470600690149,0.03344104402374818,1492.641,0.00826720989417026,1.7638400358463089,78729.0,0.6311015655318184
18,2019-11-01,11,126.23418902093115,-52.8517817998608,-2126332.885372,17.083642427376866,350.6559827997614,14107591.5,15.505175724507762,61.62620799368662,2479345.600002,21.220379989433944,3.91519305527938,157516.04700000002,0.1720693870782023,3.8781358122887255,156025.16,0.16893522621476906,31.857252932988665,1281681.0,3.371277225487917,30.011209982103797,1207411.0,3.306634600261996,0.0370572429906542,1490.887,0.008217298223399087,1.8460429508848677,74270.0,0.7322566436366771
18,2019-12-01,12,126.07919523947697,-55.67800091863185,-2090931.6464983006,15.214999776072982,352.38400702987695,13233429.0,16.08578064280969,63.24338286233158,2375042.000012,21.731330586631785,3.9340807637002717,147740.469,0.17745684363627615,3.8966417159290625,146334.483,0.17578288916237728,28.311924162539277,1063226.0,3.1882250956916733,26.396921765990307,991310.0,3.249874472306146,0.03743904777120946,1405.986,0.00760724915223443,1.9150023965489695,71916.0,0.6922967919995165
18,2020-01-01,1,125.77994785921263,-52.99555743898738,-1745885.6442700003,16.14626714382007,354.53473166585724,11679792.200000001,15.903440286429348,66.24760806216611,2182461.2,20.913427013316916,3.959403108305002,130438.57599999999,0.17578724808879012,3.92203621296746,129207.561,0.17458872975298512,27.06246964545896,891546.0,4.2900663940999495,25.30336328314716,833594.0,4.202463875767609,0.0373668953375425,1231.015,0.007726985159925074,1.759106362311802,57952.0,0.721055279926838
18,2020-02-01,2,124.64495921523377,-51.555966884876035,-1060506.2388219,16.258703893891195,357.10476908118625,7345645.100000001,16.50912636653289,69.02350996640739,1419813.600009,22.254522986655974,3.9861571220223624,81995.252,0.18176242329267683,3.9497058337384536,81245.449,0.1813348075944228,25.56917841516772,525958.0,4.008583759713596,24.061545940690326,494946.0,3.9203672878088396,0.0364512882839086,749.803,0.007459101551675952,1.5076324744773943,31012.0,0.601460776528962
18,2020-03-01,3,123.52868216517861,-56.47676104514946,-1354708.06719,14.388887203026663,355.47672072372535,8526820.1,15.665306924306698,67.4625922376704,1618225.200005,20.916398339358672,3.9679628965689746,95179.526,0.17237950138918728,3.9304641680910493,94280.044,0.171959914261767,28.92708550464835,693874.0,4.188374410149204,27.296660691207737,654765.0,4.004171765230175,0.03749872847792555,899.4820000000001,0.006712999043673465,1.6304248134406136,39109.0,0.7294299388225054
18,2020-04-01,4,123.61078754598971,-52.096959841316966,-1544362.2775360001,16.708827330712257,355.6630886520038,10543276.600000001,15.641324322726518,68.11998380785319,2019348.7999999998,20.558026883825693,3.9694892389690994,117671.53899999999,0.17280335933485294,3.9332038523815944,116595.89499999999,0.1717553845674712,28.992882202131966,859465.0,4.7196162233166445,27.278066387801918,808631.0,4.5707415010656405,0.03628538658750506,1075.644,0.007693800304887295,1.71481581433005,50834.0,0.6925751943942541
18,2020-05-01,5,122.91666666666666,-52.45250289630846,-1501872.5154300001,16.367377440540512,352.7391995250236,10099981.5,16.14305858448649,64.35427653448818,1842656.0000119999,22.326684362299517,3.9369988125589357,112728.087,0.1785590261271136,3.9006714280725037,111687.925,0.1763577844355428,36.451437152935426,1043714.0,2.8467702717340093,34.60975098662382,990981.0,2.765742793593077,0.03632738448643174,1040.162,0.007643428485697185,1.8416861663115984,52733.0,0.6630311896086246
